R2-USB,158.35,61.55,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,156.67,61.72,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,129.04,46.95,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,100.97,19.19,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,99.21,19.05,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,33.63,39.97,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,13.87,103.05,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,56.57,37.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,54.07,37.89,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,59.31,37.91,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.00,108.84,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,67.97,108.61,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.06,63.95,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,52.74,108.68,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,45.05,18.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,27.74,108.70,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,155.89,9.59,180.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,96.19,12.90,270.00,,SJ
TP1,10.77,74.91,0.00,TPTP20R,TP20R
TP10,21.10,32.81,0.00,TPTP20R,TP20R
TP11,84.65,28.21,0.00,TPTP20R,TP20R
TP12,19.95,64.61,0.00,TPTP20R,TP20R
TP13,23.80,63.71,0.00,TPTP20R,TP20R
TP14,118.65,41.31,0.00,TPTP20R,TP20R
TP15,18.60,21.41,0.00,TPTP20R,TP20R
TP16,10.65,108.01,0.00,TPTP20R,TP20R
TP17,68.90,11.41,0.00,TPTP20R,TP20R
TP2,12.89,72.91,0.00,TPTP20R,TP20R
TP3,129.89,35.99,0.00,TPTP20R,TP20R
TP4,2.71,99.49,0.00,TPTP20R,TP20R
TP5,4.13,103.79,0.00,TPTP20R,TP20R
TP6,3.45,75.99,0.00,TPTP20R,TP20R
TP7,15.57,32.99,0.00,TPTP20R,TP20R
TP8,26.29,92.79,0.00,TPTP20R,TP20R
TP9,9.41,67.69,0.00,TPTP20R,TP20R
U1,36.29,52.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.86,50.20,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,83.40,57.85,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,142.30,58.32,0.00,MAX17048G+T10,SON50P200X200X80-9N
